Happ     yae
Happy Ne     wea
Happy New Yea     rns
That’s one small ste     elv
That’s one sm     aei
That’     s a
Th     eao
one giant leap for mankin     ged
one giant leap fo     rau
one giant lea     srn
one giant l     aei
one gia      rm
on      dg

My glass shall not persuade me I a     n m
So long as yout     uhe
But when in thee ti     mpl
Then look I dea      sl
For all that beauty that doth cover the      yi
Is but the seemly raim      se
Which in thy breas     tci
How can I then be elde     rd 
